From	Entry	Interacts with
P05067	P05067	Q9NY61; P16112; P60709; P61158; O14672; A0AVL1; P18509; P41586-2; Q15109; Q13155; P63010-2; Q02410; Q99767; O96018; O00213; O00213-2; Q92870; Q92870-2; O95704; P02743; Q96BI3; Q8WW43; Q06481-5; P02647; P05067; Q92624; Q6P4J0; P61204; Q0P5N6; P56211; P05026; P54253; P56817; Q9Y5Z0; Q92934; P46379-2; Q96GW7; P51572; P10415; P23560-2; O15392; Q13867; P35613; Q8IU99; P62158; P27797; O43852-3; Q9UQM7; P27824-2; P07384; P29466-3; P42574; Q14790; Q03135; P83916; P40227; P16671; Q08722-3; P06493; Q00535; P42773; P43681; P36544; Q16740; O94985-2; Q8IUW6; P10909; P26441; Q02246; Q8NE08; Q96A83-2; P29400-2; Q14031; P31146; P20674; P15086; P02511; P48730; P48730-2; P68400; P01034; P49711; P07339; P99999; O75553-4; P98082; Q14203-5; Q13561; Q6I9W9; O14645; Q01658; P21917; Q16828; Q92997; O14576-2; O14576-5; Q01094; Q3B7T1; P20042; P19419; P11171-2; P11171-7; Q9BS26; P00748; P00734; P23142-4; Q92915; P62942; P21333-2; O75955; Q9BTI6; P01100; P25090; P09958; P06241; P04406; Q9UJY5-4; Q05586; P25098; P43250; P43250-2; A4D1B5; P49841-2; Q03013; Q00403; Q9Y5Q9; P09429; P30519; Q9UJC3; Q99714; Q99714-2; P07900; P14625; P11021; P11142; P04792; Q16082; P10809; P42858; Q9UMF0; P14735; Q16352; Q6DN90-2; P05556; Q9Y287; P05412; P17535; Q92993; Q92993-2; Q13303; Q9Y2W7; O60333-2; Q07866-2; O14901; Q92876; P01116-2; Q16363-3; Q9BYZ2; Q96FE5; Q07954-2; Q9NZR2; P30533; P42704; P07948; Q9GZQ8; P36507; P28482; P53778; Q9UQF2; P10636; P10636-8; Q9P0L2; Q6IPE9; Q96L34; Q00266; P02686-2; Q93074; Q8TDB4; O94851; A4FUJ8; P08473; P08253; Q99547; Q8N594; P41227; Q13765; Q13564; P41271-2; P19404; O76041; P12036; I6L9F6; P21359; P01138; P08138; Q6IAD4; Q99466; P43354; Q6PK61; Q02818; P49757-8; P04181; Q96FW1; P11940; O96013-2; Q99497; Q6ZW49; P61457; P16234-2; P09619; P30101; Q15084; Q15118; Q13113; P18669; Q8WUB8-2; Q8N2W9; P42338; P48736; P27986-2; Q13526; Q9BXM7; Q16512; P00749; Q13393; O14939; P53350; O14494; O15162; Q8WVK1; Q9HCM2; A0A6Q8PF08; P00491; P62937; P62136; P41236; P67775; P63151; Q00005; Q15172; P48454; P17612; P22694; P22694-8; P22612; Q9UGJ0-3; Q05655; Q02156; O60260-5; P04156; P60891; P07602; P49768; P49768-2; P49810; Q9NZ42; P28062-2; P17980; Q14289; P20340-2; P63000; P04049; Q96S59; Q9Y272; P61586; Q9Y3C5; Q6ZNA4-2; Q9ULX5; O75116; P46779; Q15349; P23443-4; P04271; P21673; Q6AZY7-2; Q8WTV0; P18827; Q15019-3; O43236; Q99719; Q92599-3; P01011; P29353; Q92529; Q8IUQ4-2; Q9GZS3; Q7Z2H8; Q9NP59; P84022; Q13485; P37840; Q16143; Q15036; O60749; Q8WV41; Q9UNH7; Q92673; Q99932-2; P11277; Q13501; P61278; P32745; P40763-2; Q8IWL8; O14662-5; Q13190-4; O43752; P61764; Q9Y5B9; P43405; P43405-2; P08247; Q13148; P20226; Q16650; O43680; P01137; P61812; Q15583; Q15583-2; P04216; P04183; Q9BX74; P49755; Q9BTD3; Q9NV96; P62328; P01375; O75509; O43508; O75888-3; Q96GM8; O14656; O14656-2; Q05BL1; Q13625; Q9C026; Q15714-2; P02766; Q71U36; P68363; P68366; P07437; Q8TBC4; P0CG47; P62837; Q9UMX0; P09936; P13051-2; O75604-3; Q9BVJ6; Q9H270; Q8N0S8; Q96AX1; Q96QK1; O76024; O00744; P19544-6; P31946; O60293; P17028; Q8N895; Q03936; Q8NHT4; O35431; P15253; Q9WVI9-1; Q8BGY9; Q306T3; Q9H7C9; P63010-2; Q0P5N6; O15392; Q9UHY8; P06241-3; Q12891; Q6DN90-2; Q9BYQ4; O95447; Q9BYZ2; Q8TDB4; A4FUJ8; P15941-11; Q13113; Q6ZNA4-2; Q9ULX5; Q2NKQ1-4; Q8IUQ4-2; Q9GZS3; Q99932-2; Q8IUW3; Q13148; Q16650; Q5HYA8; P09936; O00213; P51693; Q06481; P05067-4; Q13867; Q9NZU0; P46089; O43736; Q68DU8; Q96FE5; P04629; Q13526; P60201; P04156; P49768; Q92673; PRO_0000033163 [Q99523]; Q9HCB6; O95793; O35430; O35431; O70248; Q8VEK0; P17677; Q9NSC5; Q9Y287; O95631; Q9UIK5; Q92673; Q8K3H7; Q8VEK0; Q9BYF1; PRO_0000000092 [P05067]; P48047; P36544; P10909-5; PRO_0000005794 [P39060]; PRO_0000033156 [O00230]; Q99714; Q8N423; P10636; P08253; Q9NZV6; P03897; Q8IVG9; O95411; O95631; Q15113; Q08752; P30405; P04156; P11686-1; PRO_0000033088 [P61278]; P21980; O60602; Q9NZC2; P02766; P15253; Q05941; P03452; P97484; K9N5Q8; PRO_0000449647 [P0DTC2]; Q99NH8; P02649; PRO_0000000093 [P05067]; P10909; P49840; P49841; P14735-1; P08253; P08138; Q5JRX3-1; Q08752; Q92673; O60602; P31696; P15253; P07174
P05106	P05106	P78423; P21333; P08514; P08514-1; P06756; P05106; P18031; Q9Y490; P05094; P97465; F5HB81; Q9QZS3; Q62101; P05480-2; P26039; P54939; P06935
P05113	P05113	P32927; Q01344; Q01344-2
P05129	P05129	Q96KS9; P08238; P08727; O75925; P17252; Q8N6K7-2; Q8TDR4; P62258
P05164	P05164	P27797; P27918; Q9UNE7
P05177	P05177	O95870
P05187	P05187	Q6UY14-3; Q9UGL9; Q02930-3; P42830; A8MQ03; Q9NWN3; P57678; O15499; P49639; P24592; Q07627; Q8IUG1; P60410; Q9BQ66; P26371; Q5T752; Q5T753; Q5T754; Q5TA81; Q5TA76; Q5TA77; Q5T5A8; Q9BYE3; Q5T5B0; Q5TCM9; Q5T871; Q6FHY5; P0DPK4; Q92570; P32242; Q12837; P49795; O76081-6; P49901; P22735
P05231	P05231	P05231; P08887; PRO_0000450730 [P08887]; P40189; Q92673; Q99523
P05362	P05362	Q99828; A8MQ03; P20701; Q14145; P60410; P18440; Q9BRX2; Q9UHD9
P05771	P05771	Q8NEM2; Q9BSI4; O60341-1; Q6DHV7-2; Q9UQM7; Q6ZQX7-4; O60346; Q6ZVD8
P06213	P06213	Q99490; Q8NEJ0; Q13322; P05019; P08069; P14616; P35568; Q9Y4H2; Q15323; Q13257; P27986; P19174; P18031; Q06124; Q15262; Q15256; Q9NRF2; P29353; P01317; P35570; P32121; P06213-1; P18031; Q92485-2; P81122; Q1XH17; P01308; Q13257; Q92485-2; P01317
